,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG_x,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,np:G-xG,G-xG,xG_y,npxG,npxG/Sh,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
0,2022-08-15,18:30,Serie A,Matchweek 1,Mon,Away,W,5,2,Hellas Verona,2.4,1.1,66.0,16967.0,Giovanni Di Lorenzo,4-3-3,Michael Fabbri,Match Report,,2.6,2.6,2.4,2.4,0.1,25.0,8.0,15.2,0.0,0,0,2022,Napoli
1,2022-08-21,18:30,Serie A,Matchweek 2,Sun,Home,W,4,0,Monza,2.0,0.1,54.0,36559.0,Giovanni Di Lorenzo,4-3-3,Francesco Fourneau,Match Report,,2.0,2.0,2.0,2.0,0.09,22.0,5.0,15.3,1.0,0,0,2022,Napoli
2,2022-08-28,20:45,Serie A,Matchweek 3,Sun,Away,D,0,0,Fiorentina,1.7,0.5,52.0,32286.0,Giovanni Di Lorenzo,4-2-3-1,Livio Marinelli,Match Report,,-1.7,-1.7,1.7,1.7,0.13,13.0,2.0,14.7,1.0,0,0,2022,Napoli
3,2022-08-31,20:45,Serie A,Matchweek 4,Wed,Home,D,1,1,Lecce,1.7,1.1,71.0,37573.0,Giovanni Di Lorenzo,4-2-3-1,Matteo Marcenaro,Match Report,,-0.7,-0.7,1.7,1.7,0.09,19.0,7.0,17.7,0.0,0,0,2022,Napoli
4,2022-09-03,20:45,Serie A,Matchweek 5,Sat,Away,W,2,1,Lazio,2.1,0.3,61.0,39000.0,Giovanni Di Lorenzo,4-2-3-1,Simone Sozza,Match Report,,-0.1,-0.1,2.1,2.1,0.11,19.0,7.0,16.1,0.0,0,0,2022,Napoli
6,2022-09-10,15:00,Serie A,Matchweek 6,Sat,Home,W,1,0,Spezia,2.2,0.5,63.0,32839.0,Giovanni Di Lorenzo,4-3-3,Alberto Santoro,Match Report,,-1.2,-1.2,2.2,2.2,0.08,28.0,6.0,17.8,0.0,0,0,2022,Napoli
8,2022-09-18,20:45,Serie A,Matchweek 7,Sun,Away,W,2,1,Milan,1.4,2.6,49.0,72573.0,Giovanni Di Lorenzo,4-3-3,Maurizio Mariani,Match Report,,0.4,0.6,1.4,0.6,0.07,8.0,3.0,20.7,1.0,1,1,2022,Napoli
9,2022-10-01,15:00,Serie A,Matchweek 8,Sat,Home,W,3,1,Torino,1.6,1.0,49.0,35953.0,Giovanni Di Lorenzo,4-3-3,Luca Massimi,Match Report,,1.4,1.4,1.6,1.6,0.11,15.0,7.0,18.3,0.0,0,0,2022,Napoli
11,2022-10-09,18:00,Serie A,Matchweek 9,Sun,Away,W,4,1,Cremonese,4.1,0.8,69.0,14238.0,Giovanni Di Lorenzo,4-3-3,Rosario Abisso,Match Report,,-0.3,-0.1,4.1,3.3,0.17,20.0,9.0,17.8,1.0,1,1,2022,Napoli
13,2022-10-16,18:00,Serie A,Matchweek 10,Sun,Home,W,3,2,Bologna,2.6,1.3,49.0,50000.0,Giovanni Di Lorenzo,4-3-3,Francesco Cosso,Match Report,,0.4,0.4,2.6,2.6,0.08,31.0,11.0,14.3,0.0,0,0,2022,Napoli
14,2022-10-23,20:45,Serie A,Matchweek 11,Sun,Away,W,1,0,Roma,0.9,0.3,60.0,61633.0,Giovanni Di Lorenzo,4-3-3,Massimiliano Irrati,Match Report,,0.1,0.1,0.9,0.9,0.08,12.0,5.0,21.2,0.0,0,0,2022,Napoli
16,2022-10-29,15:00,Serie A,Matchweek 12,Sat,Home,W,4,0,Sassuolo,2.1,1.0,67.0,45000.0,Giovanni Di Lorenzo,4-3-3,Antonio Rapuano,Match Report,,1.9,1.9,2.1,2.1,0.12,18.0,6.0,16.2,1.0,0,0,2022,Napoli
18,2022-11-05,18:00,Serie A,Matchweek 13,Sat,Away,W,2,1,Atalanta,1.3,2.0,53.0,19363.0,Giovanni Di Lorenzo,4-3-3,Maurizio Mariani,Match Report,,0.7,0.7,1.3,1.3,0.18,7.0,5.0,14.3,0.0,0,0,2022,Napoli
19,2022-11-08,18:30,Serie A,Matchweek 14,Tue,Home,W,2,0,Empoli,2.0,0.3,74.0,36000.0,Giovanni Di Lorenzo,4-3-3,Luca Pairetto,Match Report,,-0.2,0.0,2.0,1.2,0.07,17.0,3.0,17.8,1.0,1,1,2022,Napoli
20,2022-11-12,15:00,Serie A,Matchweek 15,Sat,Home,W,3,2,Udinese,1.5,0.7,63.0,51000.0,Giovanni Di Lorenzo,4-3-3,Giovanni Ayroldi,Match Report,,1.5,1.5,1.5,1.5,0.1,15.0,5.0,16.1,0.0,0,0,2022,Napoli
21,2023-01-04,20:45,Serie A,Matchweek 16,Wed,Away,L,0,1,Inter,0.9,1.4,64.0,75470.0,Giovanni Di Lorenzo,4-3-3,Simone Sozza,Match Report,,-0.9,-0.9,0.9,0.9,0.1,9.0,2.0,13.1,0.0,0,0,2022,Napoli
22,2023-01-08,18:00,Serie A,Matchweek 17,Sun,Away,W,2,0,Sampdoria,3.2,0.6,66.0,24490.0,Giovanni Di Lorenzo,4-3-3,Rosario Abisso,Match Report,,-0.7,-1.2,3.2,1.7,0.08,22.0,6.0,18.4,0.0,1,2,2022,Napoli
23,2023-01-13,20:45,Serie A,Matchweek 18,Fri,Home,W,5,1,Juventus,2.1,1.3,60.0,60000.0,Giovanni Di Lorenzo,4-3-3,Daniele Doveri,Match Report,,2.9,2.9,2.1,2.1,0.16,14.0,10.0,14.4,0.0,0,0,2022,Napoli
25,2023-01-21,18:00,Serie A,Matchweek 19,Sat,Away,W,2,0,Salernitana,1.4,0.4,74.0,,Giovanni Di Lorenzo,4-3-3,Daniele Chiffi,Match Report,,0.6,0.6,1.4,1.4,0.16,9.0,4.0,14.8,1.0,0,0,2022,Napoli
26,2023-01-29,20:45,Serie A,Matchweek 20,Sun,Home,W,2,1,Roma,1.0,0.8,56.0,,Giovanni Di Lorenzo,4-3-3,Daniele Orsato,Match Report,,1.0,1.0,1.0,1.0,0.09,11.0,6.0,18.1,1.0,0,0,2022,Napoli
27,2023-02-05,12:30,Serie A,Matchweek 21,Sun,Away,W,3,0,Spezia,1.9,0.4,69.0,,Giovanni Di Lorenzo,4-3-3,Marco Di Bello,Match Report,,0.9,1.1,1.9,1.1,0.1,11.0,4.0,18.2,1.0,1,1,2022,Napoli
28,2023-02-12,20:45,Serie A,Matchweek 22,Sun,Home,W,3,0,Cremonese,1.8,0.2,65.0,,Giovanni Di Lorenzo,4-3-3,Luca Massimi,Match Report,,1.2,1.2,1.8,1.8,0.13,15.0,9.0,14.4,0.0,0,0,2022,Napoli
29,2023-02-17,20:45,Serie A,Matchweek 23,Fri,Away,W,2,0,Sassuolo,1.6,0.8,60.0,,Giovanni Di Lorenzo,4-3-3,Andrea Colombo,Match Report,,0.4,0.4,1.6,1.6,0.11,15.0,4.0,14.7,0.0,0,0,2022,Napoli
31,2023-02-25,18:00,Serie A,Matchweek 24,Sat,Away,W,2,0,Empoli,2.5,0.6,55.0,,Giovanni Di Lorenzo,4-3-3,Giovanni Ayroldi,Match Report,,-1.5,-1.5,2.5,2.5,0.14,19.0,6.0,19.2,1.0,0,0,2022,Napoli
32,2023-03-03,20:45,Serie A,Matchweek 25,Fri,Home,L,0,1,Lazio,0.9,0.2,64.0,,Giovanni Di Lorenzo,4-3-3,Luca Pairetto,Match Report,,-0.9,-0.9,0.9,0.9,0.07,14.0,2.0,22.1,1.0,0,0,2022,Napoli
33,2023-03-11,18:00,Serie A,Matchweek 26,Sat,Home,W,2,0,Atalanta,1.3,0.3,60.0,,Giovanni Di Lorenzo,4-3-3,Andrea Colombo,Match Report,,0.7,0.7,1.3,1.3,0.07,18.0,6.0,16.8,1.0,0,0,2022,Napoli
35,2023-03-19,15:00,Serie A,Matchweek 27,Sun,Away,W,4,0,Torino,2.3,1.3,52.0,,Giovanni Di Lorenzo,4-3-3,Matteo Marchetti,Match Report,,1.5,1.7,2.3,1.5,0.13,11.0,5.0,16.1,0.0,1,1,2022,Napoli
36,2023-04-02,20:45,Serie A,Matchweek 28,Sun,Home,L,0,4,Milan,1.2,2.1,60.0,,Giovanni Di Lorenzo,4-3-3,Antonio Rapuano,Match Report,,-1.2,-1.2,1.2,1.2,0.06,20.0,4.0,18.9,0.0,0,0,2022,Napoli
37,2023-04-07,19:00,Serie A,Matchweek 29,Fri,Away,W,2,1,Lecce,1.1,1.1,68.0,,Giovanni Di Lorenzo,4-3-3,Gianluca Manganiello,Match Report,,-0.1,-0.1,1.1,1.1,0.12,9.0,3.0,15.4,0.0,0,0,2022,Napoli
39,2023-04-15,18:00,Serie A,Matchweek 30,Sat,Home,D,0,0,Hellas Verona,0.4,0.4,79.0,,Giovanni Di Lorenzo,4-3-3,Federico La Penna,Match Report,,-0.4,-0.4,0.4,0.4,0.04,10.0,1.0,19.0,0.0,0,0,2022,Napoli
41,2023-04-23,20:45,Serie A,Matchweek 31,Sun,Away,W,1,0,Juventus,1.2,0.4,65.0,,Giovanni Di Lorenzo,4-3-3,Michael Fabbri,Match Report,,-0.2,-0.2,1.2,1.2,0.07,17.0,6.0,17.6,2.0,0,0,2022,Napoli
0,2022-08-14,18:30,Serie A,Matchweek 1,Sun,Home,W,2.0,1.0,Bologna,0.7,1.5,42.0,45000.0,Ciro Immobile,4-3-3,Luca Massimi,Match Report,,0.3,0.3,0.7,0.7,0.07,9.0,6.0,19.7,0.0,0,0,2022,Lazio
1,2022-08-20,18:30,Serie A,Matchweek 2,Sat,Away,D,0.0,0.0,Torino,0.8,0.7,46.0,16530.0,Ciro Immobile,4-3-3,Marco Piccinini,Match Report,,-0.8,-0.8,0.8,0.8,0.11,7.0,2.0,16.5,0.0,0,0,2022,Lazio
2,2022-08-26,20:45,Serie A,Matchweek 3,Fri,Home,W,3.0,1.0,Inter,1.1,1.5,48.0,52500.0,Ciro Immobile,4-3-3,Michael Fabbri,Match Report,,1.9,1.9,1.1,1.1,0.1,11.0,7.0,14.5,0.0,0,0,2022,Lazio
3,2022-08-31,18:30,Serie A,Matchweek 4,Wed,Away,D,1.0,1.0,Sampdoria,1.5,0.8,56.0,18499.0,Ciro Immobile,4-3-3,Gianluca Aureliano,Match Report,,-0.5,-0.5,1.5,1.5,0.12,13.0,6.0,18.4,0.0,0,0,2022,Lazio
4,2022-09-03,20:45,Serie A,Matchweek 5,Sat,Home,L,1.0,2.0,Napoli,0.3,2.1,39.0,39000.0,Ciro Immobile,4-3-3,Simone Sozza,Match Report,,0.7,0.7,0.3,0.3,0.03,8.0,2.0,26.7,0.0,0,0,2022,Lazio
6,2022-09-11,18:00,Serie A,Matchweek 6,Sun,Home,W,2.0,0.0,Hellas Verona,1.1,0.3,59.0,38000.0,Ciro Immobile,4-3-3,Massimiliano Irrati,Match Report,,0.9,0.9,1.1,1.1,0.07,15.0,6.0,15.9,0.0,0,0,2022,Lazio
8,2022-09-18,15:00,Serie A,Matchweek 7,Sun,Away,W,4.0,0.0,Cremonese,3.1,1.3,55.0,12991.0,Ciro Immobile,4-3-3,Daniele Orsato,Match Report,,0.6,0.9,3.1,2.4,0.19,13.0,5.0,13.4,0.0,1,1,2022,Lazio
9,2022-10-02,12:30,Serie A,Matchweek 8,Sun,Home,W,4.0,0.0,Spezia,2.3,1.1,61.0,41000.0,Ciro Immobile,4-3-3,Juan Sacchi,Match Report,,2.5,1.7,2.3,1.5,0.13,12.0,6.0,13.8,0.0,0,1,2022,Lazio
11,2022-10-10,20:45,Serie A,Matchweek 9,Mon,Away,W,4.0,0.0,Fiorentina,1.6,2.2,38.0,30574.0,Ciro Immobile,4-3-3,Fabio Maresca,Match Report,,2.4,2.4,1.6,1.6,0.16,10.0,6.0,15.6,0.0,0,0,2022,Lazio
13,2022-10-16,15:00,Serie A,Matchweek 10,Sun,Home,D,0.0,0.0,Udinese,0.8,0.9,54.0,45000.0,Ciro Immobile,4-3-3,Andrea Colombo,Match Report,,-0.8,-0.8,0.8,0.8,0.1,8.0,3.0,16.2,1.0,0,0,2022,Lazio
14,2022-10-23,18:00,Serie A,Matchweek 11,Sun,Away,W,2.0,0.0,Atalanta,0.9,0.8,53.0,18988.0,Sergej Milinković-Savić,4-3-3,Rosario Abisso,Match Report,,1.1,1.1,0.9,0.9,0.07,12.0,5.0,23.0,0.0,0,0,2022,Lazio
16,2022-10-30,18:00,Serie A,Matchweek 12,Sun,Home,L,1.0,3.0,Salernitana,1.9,1.5,61.0,40000.0,Danilo Cataldi,4-4-2,Gianluca Manganiello,Match Report,,-0.9,-0.9,1.9,1.9,0.15,13.0,4.0,15.3,0.0,0,0,2022,Lazio
18,2022-11-06,18:00,Serie A,Matchweek 13,Sun,Away,W,1.0,0.0,Roma,0.6,0.5,41.0,62847.0,Danilo Cataldi,4-3-3,Daniele Orsato,Match Report,,0.4,0.4,0.6,0.6,0.11,5.0,3.0,23.0,0.0,0,0,2022,Lazio
19,2022-11-10,20:45,Serie A,Matchweek 14,Thu,Home,W,1.0,0.0,Monza,1.5,0.5,47.0,36000.0,Sergej Milinković-Savić,4-3-3,Alberto Santoro,Match Report,,-0.5,-0.5,1.5,1.5,0.13,12.0,4.0,16.5,1.0,0,0,2022,Lazio
20,2022-11-13,20:45,Serie A,Matchweek 15,Sun,Away,L,0.0,3.0,Juventus,0.4,1.6,59.0,38729.0,Sergej Milinković-Savić,4-3-3,Davide Massa,Match Report,,-0.4,-0.4,0.4,0.4,0.04,10.0,3.0,21.9,0.0,0,0,2022,Lazio
21,2023-01-04,16:30,Serie A,Matchweek 16,Wed,Away,L,1.0,2.0,Lecce,0.7,1.3,59.0,26084.0,Ciro Immobile,4-3-3,Livio Marinelli,Match Report,,0.3,0.3,0.7,0.7,0.08,8.0,2.0,15.1,0.0,0,0,2022,Lazio
22,2023-01-08,15:00,Serie A,Matchweek 17,Sun,Home,D,2.0,2.0,Empoli,0.9,0.6,54.0,31000.0,Ciro Immobile,4-3-3,Ivan Pezzuto,Match Report,,1.1,1.1,0.9,0.9,0.05,18.0,4.0,19.7,0.0,0,0,2022,Lazio
23,2023-01-15,12:30,Serie A,Matchweek 18,Sun,Away,W,2.0,0.0,Sassuolo,2.7,0.7,50.0,10000.0,Ciro Immobile,4-1-4-1,Luca Pairetto,Match Report,,-1.1,-0.7,2.7,2.1,0.19,11.0,2.0,16.9,1.0,1,1,2022,Lazio
25,2023-01-24,20:45,Serie A,Matchweek 19,Tue,Home,W,4.0,0.0,Milan,3.1,0.7,50.0,,Sergej Milinković-Savić,4-3-3,Marco Di Bello,Match Report,,0.7,0.9,3.1,2.3,0.27,9.0,4.0,16.9,1.0,1,1,2022,Lazio
26,2023-01-29,18:00,Serie A,Matchweek 20,Sun,Home,D,1.0,1.0,Fiorentina,0.9,1.3,45.0,,Sergej Milinković-Savić,4-3-3,Andrea Colombo,Match Report,,0.1,0.1,0.9,0.9,0.07,13.0,1.0,16.6,1.0,0,0,2022,Lazio
28,2023-02-06,18:30,Serie A,Matchweek 21,Mon,Away,D,1.0,1.0,Hellas Verona,0.9,1.2,64.0,,Ciro Immobile,4-3-3,Giovanni Ayroldi,Match Report,,0.1,0.1,0.9,0.9,0.1,9.0,2.0,18.6,1.0,0,0,2022,Lazio
29,2023-02-11,20:45,Serie A,Matchweek 22,Sat,Home,L,0.0,2.0,Atalanta,0.9,2.8,60.0,,Ciro Immobile,4-3-3,Daniele Orsato,Match Report,,-0.9,-0.9,0.9,0.9,0.07,13.0,5.0,23.5,1.0,0,0,2022,Lazio
31,2023-02-19,15:00,Serie A,Matchweek 23,Sun,Away,W,2.0,0.0,Salernitana,3.0,0.4,65.0,,Ciro Immobile,4-3-3,Rosario Abisso,Match Report,,-0.3,-1.0,3.0,1.3,0.07,19.0,5.0,20.1,0.0,1,2,2022,Lazio
33,2023-02-27,20:45,Serie A,Matchweek 24,Mon,Home,W,1.0,0.0,Sampdoria,1.6,0.5,57.0,,Ciro Immobile,4-3-3,Andrea Colombo,Match Report,,-0.6,-0.6,1.6,1.6,0.11,15.0,4.0,15.2,1.0,0,0,2022,Lazio
34,2023-03-03,20:45,Serie A,Matchweek 25,Fri,Away,W,1.0,0.0,Napoli,0.2,0.9,36.0,,Ciro Immobile,4-3-3,Luca Pairetto,Match Report,,0.8,0.8,0.2,0.2,0.05,5.0,1.0,20.9,1.0,0,0,2022,Lazio
36,2023-03-11,20:45,Serie A,Matchweek 26,Sat,Away,D,0.0,0.0,Bologna,0.8,0.9,46.0,,Sergej Milinković-Savić,4-3-3,Fabio Maresca,Match Report,,-0.8,-0.8,0.8,0.8,0.16,5.0,2.0,16.9,0.0,0,0,2022,Lazio
38,2023-03-19,18:00,Serie A,Matchweek 27,Sun,Home,W,1.0,0.0,Roma,0.6,0.6,69.0,,Sergej Milinković-Savić,4-3-3,Davide Massa,Match Report,,0.4,0.4,0.6,0.6,0.05,12.0,5.0,22.9,0.0,0,0,2022,Lazio
39,2023-04-02,15:00,Serie A,Matchweek 28,Sun,Away,W,2.0,0.0,Monza,0.5,1.3,44.0,,Sergej Milinković-Savić,4-3-3,Matteo Marcenaro,Match Report,,1.5,1.5,0.5,0.5,0.07,8.0,4.0,19.9,1.0,0,0,2022,Lazio
40,2023-04-08,20:45,Serie A,Matchweek 29,Sat,Home,W,2.0,1.0,Juventus,1.2,1.9,50.0,,Ciro Immobile,4-3-3,Marco Di Bello,Match Report,,0.8,0.8,1.2,1.2,0.14,9.0,4.0,17.4,1.0,0,0,2022,Lazio
41,2023-04-14,20:45,Serie A,Matchweek 30,Fri,Away,W,3.0,0.0,Spezia,2.8,0.7,47.0,,Ciro Immobile,4-3-3,Massimiliano Irrati,Match Report,,0.0,0.2,2.8,2.0,0.17,12.0,6.0,16.0,1.0,1,1,2022,Lazio
42,2023-04-22,18:00,Serie A,Matchweek 31,Sat,Home,L,0.0,1.0,Torino,0.6,0.6,53.0,,Sergej Milinković-Savić,4-3-3,Davide Ghersini,Match Report,,-0.6,-0.6,0.6,0.6,0.06,10.0,5.0,18.5,1.0,0,0,2022,Lazio
0,2022-08-15,20:45,Serie A,Matchweek 1,Mon,Home,W,3.0,0.0,Sassuolo,2.0,0.9,42.0,38725.0,Leonardo Bonucci,4-4-2,Antonio Rapuano,Match Report,,0.8,1.0,2.0,1.2,0.09,13.0,3.0,18.4,0.0,1,1,2022,Juventus
1,2022-08-22,20:45,Serie A,Matchweek 2,Mon,Away,D,0.0,0.0,Sampdoria,0.8,0.9,52.0,27573.0,Juan Cuadrado,4-3-3,Rosario Abisso,Match Report,,-0.8,-0.8,0.8,0.8,0.08,10.0,4.0,16.0,0.0,0,0,2022,Juventus
2,2022-08-27,18:30,Serie A,Matchweek 3,Sat,Home,D,1.0,1.0,Roma,0.6,1.3,57.0,41003.0,Juan Cuadrado,4-2-3-1,Massimiliano Irrati,Match Report,,0.4,0.4,0.6,0.6,0.04,14.0,3.0,23.6,3.0,0,0,2022,Juventus
3,2022-08-31,20:45,Serie A,Matchweek 4,Wed,Home,W,2.0,0.0,Spezia,0.9,0.2,50.0,35709.0,Juan Cuadrado,4-3-3,Andrea Colombo,Match Report,,1.1,1.1,0.9,0.9,0.06,15.0,3.0,18.6,1.0,0,0,2022,Juventus
4,2022-09-03,15:00,Serie A,Matchweek 5,Sat,Away,D,1.0,1.0,Fiorentina,0.9,2.1,40.0,36550.0,Juan Cuadrado,4-3-3,Daniele Doveri,Match Report,,0.1,0.1,0.9,0.9,0.26,4.0,1.0,14.2,0.0,0,0,2022,Juventus
6,2022-09-11,20:45,Serie A,Matchweek 6,Sun,Home,D,2.0,2.0,Salernitana,1.9,1.6,61.0,35097.0,Leonardo Bonucci,4-3-3,Matteo Marcenaro,Match Report,,0.9,0.1,1.9,1.1,0.05,22.0,6.0,18.6,1.0,0,1,2022,Juventus
8,2022-09-18,15:00,Serie A,Matchweek 7,Sun,Away,L,0.0,1.0,Monza,0.9,2.5,40.0,12878.0,Danilo,4-3-3,Fabio Maresca,Match Report,,-0.9,-0.9,0.9,0.9,0.09,10.0,2.0,12.9,0.0,0,0,2022,Juventus
9,2022-10-02,20:45,Serie A,Matchweek 8,Sun,Home,W,3.0,0.0,Bologna,1.8,0.4,48.0,34662.0,Leonardo Bonucci,4-4-2,Rosario Abisso,Match Report,,1.2,1.2,1.8,1.8,0.11,17.0,6.0,14.1,0.0,0,0,2022,Juventus
11,2022-10-08,18:00,Serie A,Matchweek 9,Sat,Away,L,0.0,2.0,Milan,0.8,2.2,60.0,75530.0,Leonardo Bonucci,4-4-2,Daniele Orsato,Match Report,,-0.8,-0.8,0.8,0.8,0.08,10.0,3.0,17.9,0.0,0,0,2022,Juventus
13,2022-10-15,18:00,Serie A,Matchweek 10,Sat,Away,W,1.0,0.0,Torino,2.1,0.6,47.0,22269.0,Juan Cuadrado,3-5-2,Maurizio Mariani,Match Report,,-1.1,-1.1,2.1,2.1,0.16,14.0,8.0,15.6,0.0,0,0,2022,Juventus
14,2022-10-21,20:45,Serie A,Matchweek 11,Fri,Home,W,4.0,0.0,Empoli,3.5,0.7,42.0,37771.0,Leonardo Bonucci,3-5-2,Michael Fabbri,Match Report,,0.5,0.5,3.5,3.5,0.17,21.0,7.0,14.3,1.0,0,0,2022,Juventus
16,2022-10-29,18:00,Serie A,Matchweek 12,Sat,Away,W,1.0,0.0,Lecce,0.6,0.2,64.0,25860.0,Juan Cuadrado,4-4-1-1,Daniele Chiffi,Match Report,,0.4,0.4,0.6,0.6,0.05,13.0,5.0,18.6,0.0,0,0,2022,Juventus
18,2022-11-06,20:45,Serie A,Matchweek 13,Sun,Home,W,2.0,0.0,Inter,0.9,1.2,47.0,40093.0,Danilo,3-5-1-1,Daniele Doveri,Match Report,,1.1,1.1,0.9,0.9,0.12,8.0,3.0,16.0,0.0,0,0,2022,Juventus
19,2022-11-10,18:30,Serie A,Matchweek 14,Thu,Away,W,1.0,0.0,Hellas Verona,1.1,1.2,56.0,21934.0,Leonardo Bonucci,3-5-2,Marco Di Bello,Match Report,,-0.1,-0.1,1.1,1.1,0.1,11.0,3.0,18.6,1.0,0,0,2022,Juventus
20,2022-11-13,20:45,Serie A,Matchweek 15,Sun,Home,W,3.0,0.0,Lazio,1.6,0.4,41.0,38729.0,Danilo,3-5-2,Davide Massa,Match Report,,1.4,1.4,1.6,1.6,0.13,13.0,9.0,17.5,0.0,0,0,2022,Juventus
21,2023-01-04,18:30,Serie A,Matchweek 16,Wed,Away,W,1.0,0.0,Cremonese,1.6,0.9,55.0,14896.0,Danilo,3-5-1-1,Giovanni Ayroldi,Match Report,,-0.6,-0.6,1.6,1.6,0.09,19.0,8.0,19.0,1.0,0,0,2022,Juventus
22,2023-01-07,18:00,Serie A,Matchweek 17,Sat,Home,W,1.0,0.0,Udinese,2.4,0.5,51.0,39536.0,Danilo,3-5-1-1,Matteo Marchetti,Match Report,,-1.4,-1.4,2.4,2.4,0.17,14.0,4.0,12.9,0.0,0,0,2022,Juventus
23,2023-01-13,20:45,Serie A,Matchweek 18,Fri,Away,L,1.0,5.0,Napoli,1.3,2.1,40.0,60000.0,Danilo,3-5-2,Daniele Doveri,Match Report,,-0.3,-0.3,1.3,1.3,0.11,11.0,2.0,18.0,0.0,0,0,2022,Juventus
25,2023-01-22,20:45,Serie A,Matchweek 19,Sun,Home,D,3.0,3.0,Atalanta,1.9,1.0,47.0,,Danilo,3-5-1-1,Livio Marinelli,Match Report,,0.9,1.1,1.9,1.1,0.08,14.0,7.0,19.2,0.0,1,1,2022,Juventus
26,2023-01-29,15:00,Serie A,Matchweek 20,Sun,Home,L,0.0,2.0,Monza,1.6,1.2,46.0,,Danilo,3-5-2,Gianluca Aureliano,Match Report,,-1.6,-1.6,1.6,1.6,0.08,22.0,8.0,17.6,0.0,0,0,2022,Juventus
28,2023-02-07,20:45,Serie A,Matchweek 21,Tue,Away,W,3.0,0.0,Salernitana,2.2,0.8,47.0,,Danilo,3-5-2,Antonio Rapuano,Match Report,,0.6,0.8,2.2,1.4,0.09,16.0,4.0,18.9,0.0,1,1,2022,Juventus
29,2023-02-12,18:00,Serie A,Matchweek 22,Sun,Home,W,1.0,0.0,Fiorentina,1.0,0.7,45.0,34844.0,Danilo,3-4-3,Michael Fabbri,Match Report,,0.0,0.0,1.0,1.0,0.15,7.0,3.0,12.7,0.0,0,0,2022,Juventus
31,2023-02-19,18:00,Serie A,Matchweek 23,Sun,Away,W,2.0,0.0,Spezia,1.1,1.3,41.0,,Danilo,3-1-4-2,Federico La Penna,Match Report,,0.9,0.9,1.1,1.1,0.08,15.0,3.0,18.8,0.0,0,0,2022,Juventus
33,2023-02-28,20:45,Serie A,Matchweek 24,Tue,Home,W,4.0,2.0,Torino,1.5,1.2,42.0,,Danilo,3-5-1-1,Daniele Chiffi,Match Report,,2.5,2.5,1.5,1.5,0.12,13.0,6.0,15.2,1.0,0,0,2022,Juventus
34,2023-03-05,20:45,Serie A,Matchweek 25,Sun,Away,L,0.0,1.0,Roma,0.7,0.6,59.0,,Danilo,3-5-1-1,Fabio Maresca,Match Report,,-0.7,-0.7,0.7,0.7,0.05,14.0,5.0,21.7,2.0,0,0,2022,Juventus
36,2023-03-12,20:45,Serie A,Matchweek 26,Sun,Home,W,4.0,2.0,Sampdoria,2.8,0.8,56.0,,Leonardo Bonucci,3-5-1-1,Alessandro Prontera,Match Report,,2.0,1.2,2.8,2.0,0.09,23.0,8.0,17.9,1.0,0,1,2022,Juventus
38,2023-03-19,20:45,Serie A,Matchweek 27,Sun,Away,W,1.0,0.0,Inter,0.6,1.2,31.0,,Danilo,3-5-1-1,Daniele Chiffi,Match Report,,0.4,0.4,0.6,0.6,0.09,7.0,3.0,19.6,0.0,0,0,2022,Juventus
39,2023-04-01,20:45,Serie A,Matchweek 28,Sat,Home,W,1.0,0.0,Hellas Verona,1.8,0.6,56.0,,Danilo,3-5-2,Matteo Marchetti,Match Report,,-0.8,-0.8,1.8,1.8,0.18,10.0,2.0,19.7,2.0,0,0,2022,Juventus
41,2023-04-08,20:45,Serie A,Matchweek 29,Sat,Away,L,1.0,2.0,Lazio,1.9,1.2,50.0,,Juan Cuadrado,3-5-1-1,Marco Di Bello,Match Report,,-0.9,-0.9,1.9,1.9,0.2,11.0,4.0,10.5,0.0,0,0,2022,Juventus
43,2023-04-16,18:00,Serie A,Matchweek 30,Sun,Away,L,0.0,1.0,Sassuolo,1.1,0.9,59.0,,Danilo,3-5-2,Antonio Rapuano,Match Report,,-1.1,-1.1,1.1,1.1,0.09,13.0,3.0,11.4,0.0,0,0,2022,Juventus
45,2023-04-23,20:45,Serie A,Matchweek 31,Sun,Home,L,0.0,1.0,Napoli,0.4,1.2,35.0,,Danilo,4-4-1-1,Michael Fabbri,Match Report,,-0.4,-0.4,0.4,0.4,0.05,7.0,4.0,23.5,0.0,0,0,2022,Juventus
0,2022-08-13,18:30,Serie A,Matchweek 1,Sat,Home,W,4.0,2.0,Udinese,2.3,0.5,59.0,70197.0,Davide Calabria,4-2-3-1,Livio Marinelli,Match Report,,1.5,1.7,2.3,1.5,0.12,13.0,4.0,19.6,2.0,1,1,2022,Milan
1,2022-08-21,20:45,Serie A,Matchweek 2,Sun,Away,D,1.0,1.0,Atalanta,1.3,0.5,60.0,19216.0,Davide Calabria,4-2-3-1,Fabio Maresca,Match Report,,-0.3,-0.3,1.3,1.3,0.07,18.0,7.0,20.3,0.0,0,0,2022,Milan
2,2022-08-27,20:45,Serie A,Matchweek 3,Sat,Home,W,2.0,0.0,Bologna,1.9,0.5,48.0,70430.0,Davide Calabria,4-2-3-1,Gianluca Manganiello,Match Report,,0.1,0.1,1.9,1.9,0.1,19.0,7.0,15.1,0.0,0,0,2022,Milan
